feature,feature_family,nasa_power_variable,aggregation,window,unit,spatial_rule,missing_handling,availability
season_tmean_mean,heat,"T2M_MAX,T2M_MIN",mean((T2M_MAX + T2M_MIN) / 2),full growing season,degC,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
growing_degree_days_base5,heat,"T2M_MAX,T2M_MIN","sum(max(((T2M_MAX + T2M_MIN) / 2) - 5, 0))",full growing season,degC day,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
heat_days_30,heat,T2M_MAX,count(T2M_MAX >= 30 degC),full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
heat_days_35,heat,T2M_MAX,count(T2M_MAX >= 35 degC),full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
heat_days_40,heat,T2M_MAX,count(T2M_MAX >= 40 degC),full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
max_consecutive_heat_days_30,heat,T2M_MAX,longest consecutive run with T2M_MAX >= 30 degC,full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
max_consecutive_heat_days_35,heat,T2M_MAX,longest consecutive run with T2M_MAX >= 35 degC,full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
heatwave_events_3d_30,heat,T2M_MAX,count(consecutive heat runs >= 3 days; T2M_MAX >= 30 degC),full growing season,events,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
heatwave_events_3d_35,heat,T2M_MAX,count(consecutive heat runs >= 3 days; T2M_MAX >= 35 degC),full growing season,events,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
heat_degree_days_30,heat,T2M_MAX,"sum(max(T2M_MAX - 30, 0))",full growing season,degC day,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
heat_degree_days_35,heat,T2M_MAX,"sum(max(T2M_MAX - 35, 0))",full growing season,degC day,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
hot_dry_days_30_1mm,drought,"T2M_MAX,PRECTOTCORR",count(T2M_MAX >= 30 degC and precipitation < 1 mm),full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
frost_days_0,frost_cold,T2M_MIN,count(T2M_MIN <= 0 degC),full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
cold_days_5,frost_cold,T2M_MIN,count(T2M_MIN <= 5 degC),full growing season,days,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
min_tmin,frost_cold,T2M_MIN,min(T2M_MIN),full growing season,degC,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
frost_events_2d,frost_cold,T2M_MIN,count(consecutive frost runs >= 2 days; T2M_MIN <= 0 degC),full growing season,events,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
radiation_sum,radiation,ALLSKY_SFC_SW_DWN,sum(daily surface shortwave radiation),full growing season,kWh m-2,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
radiation_mean,radiation,ALLSKY_SFC_SW_DWN,mean(daily surface shortwave radiation),full growing season,kWh m-2 day-1,state representative coordinate,exact reconstruction; row excluded if required daily input is unavailable,after the complete crop-season weather window
